
Epoch 1/15 | LR: 0.001000
--------------------------------------------------
  batch 4050 | loss: 0.0185 | acc: 1.0000
  batch 4100 | loss: 0.2174 | acc: 0.8750
  batch 4150 | loss: 0.1821 | acc: 0.8750
  batch 4200 | loss: 0.0317 | acc: 1.0000
  batch 4250 | loss: 0.2195 | acc: 0.8750
  batch 4300 | loss: 0.1504 | acc: 1.0000
  batch 4350 | loss: 0.2204 | acc: 0.8750
  batch 4400 | loss: 0.0689 | acc: 1.0000
  batch 4450 | loss: 0.3242 | acc: 0.7500
  batch 4500 | loss: 0.0410 | acc: 1.0000
  batch 4550 | loss: 0.2611 | acc: 0.8750
  batch 4600 | loss: 0.0641 | acc: 1.0000
  batch 4650 | loss: 0.0751 | acc: 1.0000
  batch 4700 | loss: 0.1561 | acc: 1.0000
  batch 4750 | loss: 0.0334 | acc: 1.0000
  TRAIN — Loss: 0.1313 | Acc: 0.9482
  VAL   — Loss: 0.0896 | Acc: 0.9650
  ⭐ New best! Saved best.pth (acc=0.9650)

Epoch 6/15 | LR: 0.000035
--------------------------------------------------
  batch 50 | loss: 0.3018 | acc: 0.7500
  batch 100 | loss: 0.3842 | acc: 0.7500
  batch 150 | loss: 0.1250 | acc: 0.8750
  batch 200 | loss: 0.0085 | acc: 1.0000
  batch 250 | loss: 0.3250 | acc: 0.8750
  batch 300 | loss: 0.0526 | acc: 1.0000
  batch 350 | loss: 0.0086 | acc: 1.0000
  batch 400 | loss: 0.0153 | acc: 1.0000
  batch 450 | loss: 0.0987 | acc: 0.8750
  batch 500 | loss: 0.0306 | acc: 1.0000
  batch 550 | loss: 0.2794 | acc: 0.8750
  batch 600 | loss: 0.0150 | acc: 1.0000
  batch 650 | loss: 0.1128 | acc: 0.8750
  batch 700 | loss: 0.5811 | acc: 0.6250
  batch 750 | loss: 0.0717 | acc: 1.0000
  batch 800 | loss: 0.2831 | acc: 0.8750
  batch 850 | loss: 0.0071 | acc: 1.0000
  batch 900 | loss: 0.0041 | acc: 1.0000
